employer,role_family,level,base_median,bonus_target_pct,rsu_4yr_value,total_comp_year1,total_comp_year4,monthly_rent_capacity_30pct,monthly_rent_capacity_40pct,sources,notes
Microsoft,SDE,L59 (SDE-II),168000,15,135000,206000,200000,5150,6870,"levels.fyi median;Blind;LCA $196k prevailing;BLS OEWS Seattle MSA Software Dev","Year-1 RSU heavy due to sign-on; year-4 lower as stock vest plateaus. Range across sources: $185-225k Y1. Triangulation favors $206k."
Microsoft,SDE,L60 (Senior SDE),185000,20,260000,266000,250000,6650,8870,"levels.fyi;Blind;LCA $228k prevailing","Senior IC role; range $235-300k Y1 across sources."
Microsoft,SDE,L62 (Principal SDE),220000,30,520000,418000,396000,10450,13930,"levels.fyi;Blind;LCA $280k","Range $360-500k+ Y1. Top-end heavily skewed by RSU appreciation."
Microsoft,SDE,L63 (Partner SDE),260000,40,900000,584000,560000,14600,19470,"levels.fyi;Blind","Rare; very wide range $480-800k Y1."
Microsoft,PM,L60 (Senior PM),175000,20,220000,239000,225000,5970,7970,"levels.fyi;Blind","Range $210-275k."
Microsoft,Applied Scientist,L60 (Senior AS),190000,25,340000,322000,308000,8050,10720,"levels.fyi;Blind;LCA","ML/AI role; Microsoft AI premium 10-15% above SDE peer level since 2024."
Microsoft,Data Engineer,L59,158000,15,110000,191000,186000,4780,6360,"levels.fyi;Blind",""
Microsoft,Sales,L62 (Senior Sales),148000,40,180000,261000,257000,6520,8700,"levels.fyi","Variable comp - heavier OTE weighting."
Amazon,SDE,L4 (SDE-I),155000,0,140000,190000,160000,4750,6330,"levels.fyi;Blind;LCA $158k prevailing;BLS OEWS","Amazon model: minimal bonus, RSU backloaded (5/15/40/40). Y1 includes sign-on bonus. Y4 RSU vesting peaks then drops."
Amazon,SDE,L5 (SDE-II),182000,0,260000,247000,217000,6175,8230,"levels.fyi;Blind;LCA $201k prevailing","Range $230-290k Y1. AWS premium ~5-8%."
Amazon,SDE,L6 (Senior SDE),215000,0,520000,355000,335000,8870,11830,"levels.fyi;Blind","Range $320-420k Y1."
Amazon,SDE,L7 (Principal SDE),245000,0,1200000,545000,545000,13620,18170,"levels.fyi;Blind","Range $480-680k Y1. Heavy RSU tilt."
Amazon,PM,L5 (PM-II),180000,0,260000,245000,215000,6120,8170,"levels.fyi;Blind",""
Amazon,Applied Scientist,L5,195000,0,320000,276000,246000,6900,9200,"levels.fyi;Blind;LCA","Range $250-310k Y1."
Amazon,Data Engineer,L5,175000,0,200000,225000,205000,5620,7500,"levels.fyi;Blind",""
Amazon,Sales (AWS),L6 (Senior Sales),168000,30,310000,294000,272000,7350,9800,"levels.fyi","Heavy OTE."
Meta,SDE,E4,205000,15,420000,328000,300000,8200,10930,"levels.fyi;Blind;LCA $229k prevailing","Bellevue Meta hub; range $300-365k Y1."
Meta,SDE,E5 (Senior),245000,17,720000,453000,425000,11320,15100,"levels.fyi;Blind","Range $420-510k Y1."
Meta,SDE,E6 (Staff),290000,20,1300000,673000,673000,16820,22430,"levels.fyi;Blind","Range $590-780k Y1."
Meta,Applied Scientist (AI),E5,260000,18,950000,508000,488000,12700,16930,"levels.fyi;Blind","AI premium 15-20% over SDE peer. Range $470-620k Y1."
Meta,PM,E5,238000,17,700000,445000,418000,11120,14830,"levels.fyi;Blind",""
Google,SDE,L4,205000,12,360000,316000,295000,7900,10530,"levels.fyi;Blind;LCA $225k prevailing","Kirkland + Seattle Fremont engineering. Range $290-355k Y1."
Google,SDE,L5,240000,15,640000,436000,410000,10900,14530,"levels.fyi;Blind","Range $400-490k Y1."
Google,SDE,L6 (Staff),275000,18,1100000,599000,599000,14970,19970,"levels.fyi;Blind","Range $530-700k Y1."
Google,SDE,L7 (Senior Staff),305000,22,1900000,837000,837000,20920,27900,"levels.fyi;Blind","Range $720-1.1M Y1."
Google,Applied Scientist,L5 (AI),265000,17,950000,510000,490000,12750,17000,"levels.fyi;Blind","Gemini-team premium 2024-25."
Google,PM,L5,235000,15,580000,408000,390000,10200,13600,"levels.fyi;Blind",""
Apple,SDE,ICT4,200000,18,300000,294000,278000,7350,9800,"levels.fyi;Blind;LCA $219k","Seattle SLU ML team. Apple stock-vest schedule heavy."
Apple,SDE,ICT5 (Senior),240000,22,650000,438000,420000,10950,14600,"levels.fyi;Blind","Range $400-480k Y1."
T-Mobile,SDE,M3 (Senior IC),168000,15,80000,213000,200000,5320,7100,"levels.fyi;Blind;LCA $158k","Bellevue Factoria; less generous RSU than FAANG."
T-Mobile,SDE,M4 (Principal),198000,20,180000,283000,263000,7070,9430,"levels.fyi;Blind",""
T-Mobile,PM,M3 (Senior PM),155000,15,70000,196000,184000,4900,6530,"levels.fyi",""
Salesforce,SDE,SMTS (Senior),200000,15,260000,295000,278000,7370,9830,"levels.fyi;Blind;LCA $212k","Seattle Salesforce Tower. Range $270-330k Y1."
Salesforce,SDE,LMTS (Lead),238000,18,520000,409000,390000,10220,13630,"levels.fyi;Blind",""
Salesforce,Applied Scientist,SMTS,222000,17,420000,365000,348000,9120,12170,"levels.fyi;Blind","AI premium since Einstein/Agentforce 2024."
Nvidia,SDE,IC4 (Senior SWE),218000,20,520000,402000,387000,10050,13400,"levels.fyi;Blind;LCA $259k","Bellevue + Redmond GPU/AI engineering. Range $360-450k Y1. RSU appreciation 2023-25 makes Nvidia an outlier upward."
Nvidia,SDE,IC5 (Staff),258000,25,1000000,580000,580000,14500,19330,"levels.fyi;Blind","Stock-appreciation comp far exceeds grant value 2022-25."
Nvidia,Applied Scientist,IC4,238000,22,640000,452000,438000,11300,15070,"levels.fyi;Blind",""
Oracle,SDE,IC4,170000,12,180000,225000,212000,5620,7500,"levels.fyi;Blind;LCA $189k","Bellevue OCI engineering."
Oracle,SDE,IC5,200000,15,350000,305000,290000,7620,10170,"levels.fyi;Blind",""
F5,SDE,Senior SWE,158000,12,120000,189000,178000,4720,6300,"levels.fyi;Blind;LCA $178k","Seattle downtown HQ."
F5,SDE,Principal,188000,15,240000,259000,248000,6470,8630,"levels.fyi;Blind",""
Expedia,SDE,SDE-III (Senior),175000,15,250000,256000,238000,6400,8530,"levels.fyi;Blind;LCA $184k","Bellevue (post-Interbay-move)."
Expedia,SDE,Principal,205000,18,420000,344000,325000,8600,11470,"levels.fyi;Blind",""
Zillow,SDE,Senior SWE,168000,12,200000,228000,210000,5700,7600,"levels.fyi;Blind;LCA $162k","Seattle Russell Investments Center. Cloud-HQ posture compresses RSU."
Zillow,SDE,Principal,200000,15,360000,310000,298000,7750,10330,"levels.fyi;Blind",""
Redfin,SDE,Senior SWE,158000,10,100000,184000,175000,4600,6130,"levels.fyi;Blind;LCA $148k","Pioneer Square. Lower comp than peer Seattle tech."
DocuSign,SDE,Senior SWE,168000,12,180000,217000,205000,5430,7230,"levels.fyi;Blind;LCA $168k","Columbia Center downtown."
Smartsheet,SDE,Senior SWE,162000,12,160000,205000,193000,5120,6830,"levels.fyi;Blind;LCA $162k","Bellevue HQ. Post-Vista PE comp normalized."
SAP Concur,SDE,Senior Developer,168000,15,140000,210000,198000,5250,7000,"levels.fyi;Blind;LCA $175k","Bellevue Eastgate; SAP global compression."
Adobe,SDE,Senior IC4,200000,15,360000,310000,295000,7750,10330,"levels.fyi;Blind;LCA $209k","Bellevue + Seattle SLU."
Adobe,SDE,Principal IC5,240000,20,640000,432000,420000,10800,14400,"levels.fyi;Blind",""
Stripe,SDE,L3 (Senior),218000,15,420000,357000,340000,8920,11900,"levels.fyi;Blind;LCA $234k","Seattle SLU; engineering quality bar high."
Stripe,SDE,L4 (Staff),258000,20,800000,510000,505000,12750,17000,"levels.fyi;Blind",""
OpenAI,SDE,Senior MTS,265000,0,1800000,715000,715000,17870,23830,"levels.fyi;Blind;LCA $242k","Seattle office; PPU (profit-participation units) rather than RSU; comp range very wide $550-900k Y1. Heavily AI-premium."
OpenAI,Applied Scientist,Senior,280000,0,2200000,830000,830000,20750,27670,"levels.fyi;Blind","Range $650-1.1M Y1."
Anthropic,SDE,L4 (Senior),295000,0,1200000,595000,595000,14870,19830,"levels.fyi;Blind;LCA $278k","Seattle hub. Equity is private illiquid; comp range $480-720k Y1 marked-to-market at last round."
Anthropic,Applied Scientist,L4,310000,0,1500000,685000,685000,17120,22830,"levels.fyi;Blind","Range $560-820k Y1."
Snowflake,SDE,IC4 (Senior),205000,15,400000,328000,310000,8200,10930,"levels.fyi;Blind;LCA $224k","Seattle SLU."
Snowflake,SDE,IC5 (Staff),245000,18,720000,455000,435000,11380,15170,"levels.fyi;Blind",""
Databricks,SDE,IC4 (Senior),215000,15,440000,348000,328000,8700,11600,"levels.fyi;Blind;LCA $231k","Seattle SLU. Equity private; mark-to-market high."
Databricks,SDE,IC5 (Staff),258000,18,820000,506000,486000,12650,16870,"levels.fyi;Blind",""
ServiceNow,SDE,Senior IC,188000,15,280000,275000,260000,6870,9170,"levels.fyi;Blind;LCA $201k","Bellevue + Kirkland engineering."
Cisco,SDE,Grade 9 (Senior),168000,12,180000,219000,205000,5470,7300,"levels.fyi;Blind;LCA $179k","Seattle + Bellevue Webex."
Cisco,SDE,Grade 10 (Principal),198000,15,340000,304000,290000,7600,10130,"levels.fyi;Blind",""
Boeing,Engineer,Grade 5 (Senior),135000,10,0,148000,158000,3700,4930,"BLS OEWS;Boeing-IAM negotiated;LCA $128-145k Aerospace Engineer","Boeing comp: no RSU; defined-benefit pension partially frozen 2014. IAM 751 2024 contract: 38% wage increase over 4 yrs. Aerospace engineers separately on SPEEA (technical) contracts."
Boeing,Engineer,Grade 6 (Principal),168000,12,0,188000,205000,4700,6270,"BLS OEWS;SPEEA contracts",""
Boeing,Manufacturing,IAM (top-of-scale),95000,5,0,99000,115000,2470,3300,"IAM 751 2024 contract","Hourly wage floor + overtime; 'top-of-scale' assumes 8+ yrs. Post-strike wage scale much higher than pre-2024."
